date	followers	following	medias
2020-03-29 18:25:46	12	41	7
2020-03-29 21:11:49	12	41	7
2020-03-30 08:30:09	12	41	7
2020-03-30 09:30:13	12	41	7
2020-03-30 10:30:14	12	41	7
